+-------------------------------+-----------------------------------------+------------------------------------------+-----------------------------+
|                               | Key                                     | Title                                    | Unit                        |
|-------------------------------+-----------------------------------------+------------------------------------------+-----------------------------|
| (1, 2, nan, nan, nan)         | ICTPersAangenomenWillenAannemen_1       | ICT-pers. aangenomen/willen aannemen     | % van bedrijven             |
| (1, 3, nan, nan, nan)         | ICTVacaturesLastigTeVervullen_2         | ICT-vacatures lastig te vervullen        | % van bedrijven             |
| (1, 4, 5.0, nan, nan)         | ICTSpecialistenInLoondienst_3           | ICT-specialisten in loondienst           | % van werkzame personen     |
| (1, 4, 6.0, nan, nan)         | ICTSpecOntwEnOnderhoudSoftware_4        | ICT-spec. ontw. en onderhoud software    | % van werkzame personen     |
| (1, 7, nan, nan, nan)         | ICTCursusAanICTSpecialisten_5           | ICT-cursus aan ICT-specialisten          | % van bedrijven             |
| (1, 8, nan, nan, nan)         | ICTCursusAanOverigPersoneel_6           | ICT-cursus aan overig personeel          | % van bedrijven             |
| (1, 9, 10.0, nan, nan)        | VoornUitgDoorEigenPersoneel_7           | Voorn. uitg. door eigen personeel        | % van bedrijven             |
| (1, 9, 11.0, nan, nan)        | VoornUitgDoorExterneLeveranciers_8      | Voorn. uitg. door externe leveranciers   | % van bedrijven             |
| (1, 9, 12.0, nan, nan)        | NietVanToepassing_9                     | Niet van toepassing                      | % van bedrijven             |
| (13, 14, 15.0, nan, nan)      | BedrijvenMetWebsite_10                  | Bedrijven met website                    | % van bedrijven             |
| (13, 14, 16.0, 17.0, nan)     | OnlineBestellenBoekenOfReserveren_11    | Online bestellen, boeken of reserveren   | % van bedrijven             |
| (13, 14, 16.0, 18.0, nan)     | BeschrijvingenVanProductenPrijslijst_12 | Beschrijvingen van producten, prijslijst | % van bedrijven             |
| (13, 14, 16.0, 19.0, nan)     | BestellingOnlineVolgen_13               | Bestelling online volgen                 | % van bedrijven             |
| (13, 14, 16.0, 20.0, nan)     | ProductaanpassingDoorKlant_14           | Productaanpassing door klant             | % van bedrijven             |
| (13, 14, 16.0, 21.0, nan)     | KlantspecifiekeInfoVoorDeBezoeker_15    | Klantspecifieke info voor de bezoeker    | % van bedrijven             |
| (13, 14, 16.0, 22.0, nan)     | VerwijzingNaarSocialeMedia_16           | Verwijzing naar sociale media            | % van bedrijven             |
| (23, 24, nan, nan, nan)       | CloudDienstenGebruikt_17                | Cloud-diensten gebruikt                  | % van bedrijven             |
| (23, 25, 26.0, nan, nan)      | EMailAlsCloudDienst_18                  | E-mail (als cloud-dienst)                | % van bedrijven             |
| (23, 25, 27.0, nan, nan)      | OfficeSoftware_19                       | Office software                          | % van bedrijven             |
| (23, 25, 28.0, nan, nan)      | DatabaseHosting_20                      | Database hosting                         | % van bedrijven             |
| (23, 25, 29.0, nan, nan)      | BestandenOpslaanAlsCloudDienst_21       | Bestanden opslaan (als cloud-dienst)     | % van bedrijven             |
| (23, 25, 30.0, nan, nan)      | SoftwareVoorBoekhouding_22              | Software voor boekhouding                | % van bedrijven             |
| (23, 25, 31.0, nan, nan)      | SoftwareKlantinformatiebeheer_23        | Software klantinformatiebeheer           | % van bedrijven             |
| (23, 25, 32.0, nan, nan)      | RekenkrachtVoorSoftwareBedrijf_24       | Rekenkracht voor software bedrijf        | % van bedrijven             |
| (23, 25, 33.0, 34.0, nan)     | GedeeldeServers_25                      | Gedeelde servers                         | % van bedrijven             |
| (23, 25, 33.0, 35.0, nan)     | ServersUitsluitendVoorHetBedrijf_26     | Servers uitsluitend voor het bedrijf     | % van bedrijven             |
| (36, 37, nan, nan, nan)       | Uitgevoerd_27                           | Uitgevoerd                               | % van bedrijven             |
| (36, 38, 39.0, nan, nan)      | DataVanBedrijfZelf_28                   | Data van bedrijf zelf                    | % van bedrijven             |
| (36, 38, 40.0, nan, nan)      | DataOverGeografischeLocaties_29         | Data over geografische locaties          | % van bedrijven             |
| (36, 38, 41.0, nan, nan)      | DataVanSocialeMedia_30                  | Data van sociale media                   | % van bedrijven             |
| (36, 38, 42.0, nan, nan)      | AndereBronnen_31                        | Andere bronnen                           | % van bedrijven             |
| (36, 43, 44.0, nan, nan)      | MedewerkersEigenBedrijf_32              | Medewerkers eigen bedrijf                | % van bedrijven             |
| (36, 43, 45.0, nan, nan)      | AnderBedrijf_33                         | Ander bedrijf                            | % van bedrijven             |
| (46, 47, 48.0, nan, nan)      | Antivirussoftware_34                    | Antivirussoftware                        | % van bedrijven             |
| (46, 47, 49.0, nan, nan)      | BeleidVoorSterkeWachtwoorden_35         | Beleid voor sterke wachtwoorden          | % van bedrijven             |
| (46, 47, 50.0, nan, nan)      | AuthenticatieViaSoftOfHardwareToken_36  | Authenticatie via soft of hardware-token | % van bedrijven             |
| (46, 47, 51.0, nan, nan)      | EncryptieVoorHetOpslaanVanData_37       | Encryptie voor het opslaan van data      | % van bedrijven             |
| (46, 47, 52.0, nan, nan)      | EncryptieVoorHetVersturenVanData_38     | Encryptie voor het versturen van data    | % van bedrijven             |
| (46, 47, 53.0, nan, nan)      | GegevensOpAndereFysiekeLocatie_39       | Gegevens op andere fysieke locatie       | % van bedrijven             |
| (46, 47, 54.0, nan, nan)      | NetworkAccessControl_40                 | Network access control                   | % van bedrijven             |
| (46, 47, 55.0, nan, nan)      | VPNBijInternetgebruikBuitenHetEigen_41  | VPN bij internetgebruik buiten het eigen | % van bedrijven             |
| (46, 47, 56.0, nan, nan)      | LogbestandenVoorAnalyseIncidenten_42    | Logbestanden voor analyse incidenten     | % van bedrijven             |
| (46, 47, 57.0, nan, nan)      | MethodesVoorBeoordelenITCVeiligheid_43  | Methodes voor beoordelen ITC-veiligheid  | % van bedrijven             |
| (46, 47, 58.0, nan, nan)      | Risicoanalyses_44                       | Risicoanalyses                           | % van bedrijven             |
| (46, 47, 59.0, nan, nan)      | AndereMaatregelen_45                    | Andere maatregelen                       | % van bedrijven             |
| (46, 60, 61.0, nan, nan)      | IncidentOpgetreden_46                   | Incident opgetreden                      | % van bedrijven             |
| (46, 60, 62.0, nan, nan)      | KostenGehadAanICTIncident_47            | Kosten gehad aan ICT-incident            | % van bedrijven             |
| (46, 60, 63.0, nan, nan)      | IncidentDoorAanvalVanBuiten_48          | Incident door aanval van buiten          | % van bedrijven             |
| (46, 60, 64.0, nan, nan)      | KostenIncidentAanvalBuitenaf_49         | Kosten incident (aanval buitenaf)        | % van bedrijven             |
| (46, 65, 66.0, nan, nan)      | UitvalICTDienstDoorVeiligheidsinc_50    | Uitval ICT-dienst door veiligheidsinc.   | % van bedrijven             |
| (46, 65, 67.0, nan, nan)      | UitvalICTDienstDoorAanvalBuitenaf_51    | Uitval ICT-dienst door aanval buitenaf   | % van bedrijven             |
| (46, 65, 68.0, nan, nan)      | VernietigingDataDoorVeiligheidsinc_52   | Vernietiging data door veiligheidsinc.   | % van bedrijven             |
| (46, 65, 69.0, nan, nan)      | VernietigingDataAanvalVanBuitenaf_53    | Vernietiging data;  aanval van buitenaf  | % van bedrijven             |
| (46, 65, 70.0, nan, nan)      | OnthullingGegevensDoorICTInbraak_54     | Onthulling gegevens door ICT-inbraak     | % van bedrijven             |
| (46, 65, 71.0, nan, nan)      | OnthullingGegevensDoorInternIncident_55 | Onthulling gegevens door intern incident | % van bedrijven             |
| (46, 72, 73.0, nan, nan)      | UitvalICTDienstDoorVeiligheidsinc_56    | Uitval ICT-dienst door veiligheidsinc.   | % van bedrijven             |
| (46, 72, 74.0, nan, nan)      | UitvalICTDienstDoorAanvalBuitenaf_57    | Uitval ICT-dienst door aanval buitenaf   | % van bedrijven             |
